text,
" SO EFFING ADDICTIVE This game is the definition of Awesome sauce! It's unbelievably addictive! Sadly we got a new and terrible Internet router and I can't update the game so I can't play at the moment, but apart from that this game is the opposite of <f0><U+009F><U+0092><U+00A9>
Good job<f0><U+009F><U+0091><U+008D>",
" Addictive Great looking, fun game",
 Addictive 'Nuff said.,
" They ticked all the boxes This is a really good thing the people at  at urban rivals made so know I can play it when I'm not in the house,yay!!!",
 Its ok.. The only thing that really grinds my gears is if your raid and get disconnected you don't get anything refunded if you have used gems for the raid..,
 Slow downloading Why has this game got so slow in downloading? Since the last update takes me ages to get from farm to farm and it keeps going off,
" Great!! I rarely rate apps and when I do there usually only great or crappy games, this is an awesome game had it for a while now. Please add clan vs clan battles and PvP. Then this will be best mmo on the AppStore",
" I AM ADDICTED-BEST GAME EVER!!!!!!!!!!!!!!!!!! This game is so fun & addicting. Especially if you're bored-you play this game and trust me-you'll snap out of it. Fun farming. Just like living on a farm too!!! Just...not. So many customers, a roadside shop, sheep, pigs, horses, cows,chickens,dogs.
It goes on FOREVER!!!
BEST GAME EVER!!!!!",
 Fun Enjoying playing.,
 ADDICTIVE!!!! This is a fun and easy to play and lose!!,
" This game is a rip off Note it's practically impossible to enjoy this game without spending significant amounts of money. Game developers are exceptionally greedy. Also note the game is totally unfair with some player getting free upgrades without paying any money, apparently due to ""glitches"" in the game. You will regret playing this game.",
 Sweet Nice,
 Casino Love the games & interaction,
 Sick Luv it do more rovio,
 Plumbers Crack Good game to while away the hours.  Watch the sore ice flicking finger!,
" Terrible Downloaded the game and it keeps on lagging, I swipe the screen and my player doesn't move, deleted it straight away.",
" Good game but.... The game itself is fun to play. My only issue is that you have to constantly buy clothes and other items to keep up a ""professional"" and ""romantic"" appearance for dates and gigs. It's starting to become very taxing and I can't buy anything that isn't worth K-stars now. Everything else that is worth cash is extremely expensive and/or locked because I'm not high enough in levels. Please consider lowering prices or creating an easier way to earn more money besides watching a million ads...",
 Awesome Game!!! This game is so simple and very addictive. It's a game that you can spend hours playing. In my opinion Warriors is the best game out right now.,
 Grhrhrh Gmwl,
" Frustrated So i upgraded to ios 8 and i also upgraded my clash of clans app, and now my app is so much slower than before. I don't know if its the new apple software or the app but can you please fix the problem? Thanks. Also this game is the greatest game on the AppStore.",
" Fix it! I've lost all my archers and my alchemist! It's reverted me back to previous level and reset my materials after grinding for them.

Makes it more annoying that I've spent money on IAP!!!",
 Awsome Game! Name says it all,
 Fun I love it,
" Amazing Well worth playing,very addictive!",
" Not impressed Don't waste your time or money. Since day one this game has constantly froze or crashed. Get chips then crashes, reopen and they are gone. This game has never worked properly. It should be removed from App Store!",
 Good! Its a real good game ; && the movie :o,
 So Much Fun!! This game is so much fun to play and is so hard to put down.  I look forward to more settings and more objects to throw.,
 Driver Easy fun game,
 Candy It's a good game,
" Crashing! Love this game, but got to level 30, bought the land and pier, fisherman has turned up and game froze. Very very frustrating. Why? Would have given 4 plus stars otherwise. Please fix!",
 Entertaining Nice,
 Disappointed I love this game but they make it almost impossible to complete challenges unless you spend money or 24 hours a day playing. Not sure I will keep the game if this carries on,
 Fun Fast paced game so far.,
 Casino Very good great upgrades lots of fun free down load what great casino game lots to do,
 Miss Absolutely fabulous :) love it!,
 Awesome Awesome game,
 Amazing game!! ...,
" Very fun Addictive game, similar to a Tomogotchi. You will want to check in on your village and clan.  Building, building, building and re-arranging you village. Some battles too. Ver well constructed.",
 Takes too long to load Besides that its really nicee,
 Omg! Sooooooo cute game I love it! <f0><U+009F><U+0098><U+0086>,
 Brilliant! I love it!,
 Challenging This game is very challenging and you'll get mad at it when you lose but it's still fun to play,
" Ups and downs It's fun(it gets frustrating though) but its a classic game and nothing will make me delete it.
P.s I agree with teneray, it is very good for a free app!!",
 Marna I love this game,
 10-Oct Great game,
 Enjoyable Game Fun,
 Miss Awesome fun,
 Chuck Norris dancing Fruity lion,
 Warrior Loads of fun,
 Pile of crap Worst game ever it only glitches and crashes it so stupid I tried it many times but just crashes  FIX IT,
 Not as much fun Still crashes after the last 2 upgrades. The game isn't as fun as it was prior to the new upgrades. Took away the magnet purchase and wiped out all the magnets that were accumulated.  Also increased the cost of things 1000%. Unfortunate...On to something new.,
 Me Wicked game!,
 Frighteningly addictive An awesome game and must have for apple products!,
" Love Love this game. 
I just wish if your stuck on a level for a certain amount of time you could just pass it.",
 I'm not sure what I'm supposed to write here Great game. Although u shudnt b forced 2 buy things with $. First bec. it's expensive second bec. that's not a part of the game and third bec. some players (kids especially) have restrictions.,
 IM ADDICTED AND I JUST CAN'T GET ENOUGH! Fantastic!!,
 Good It is a good game to play while wasting time,
 Mary hand I loved this on my desktop.  Now it is on IPad I am so thrilled it is just the best thanks,
 So entertaining and addictive!!! I,
