text,
 Great game. I love this game. I m on it everyday.,
" <U+2661> I like this game, but I wish Kim from Australia came back!",
 T Love it,
 Subway surfers is good but I really need a jackpot and I saved up a lot of money and bought about 6 thousand mystery boxes but didn't get a jackpot. I was so dissapointed and upset which made me think this game is bad so please put more jackpots in it.,
 Mr One of the worst game server always down and bets are so high to take all your money,
 Good game Excellent,
 Subway surfers I love this game would it be possible t do a New Zealand one with kiwi icons thnx it's good fun,
 Fun but glitchy Really fun game but glitchy after 10 minutes. Gets slow and doesn't recognize taps on the screen. End up wasting my time dying because of the delay. Need an update to fix that.,
" This game Is pretty good, respect that's its strongly related to old dungeon keeper",
 Good Good million time,
" waste of $4.99 no actual racing. just a few touches of a pedal determine some race that happens that you don’t see. and then you taken to screens to tune, buy stuff. plenty of other games that actually let you drive the car around laps. Do not buy this game ever!",
 revieuwww The game is nice and cool,
 Internet connection I just downloaded the game and can't play because it says there's no Internet connection even though there is. I haven't even played it once. Please fix this bug because I really want to play it.,
 Addictive Amazing this game is soooo addictive,
 Hello It a good game I like it,
" Fabulous Great freebies and lots of choice, highly recommend you give it a try",
 Worst app Worst app I've ever used. Sort It out!,
 Update Update is not working properly. I'm logged in and try and send a gift it tells me to login that I'm not connected and will not allow me to send gift. This is the only way you get to play because there sure isn't any payouts or bonuses. Great games but way too tight. I attempt to play this everyday and have for several months the level up bar NEVER moves very unfair.,
 Cool Awesome,
 Jut cute Good,
 Crash App has been crashing all day please fix. 3 stars till you fix please! iPad app now isn't working. What's going? Please get this fixed!,
 Yay Sweeeetttttt,
 Plumbers crack The best game ever so addictive,
" Addictive What a an addictive game once you download and play you will see what I mean,  you will get some funny looks from those around you as you play but I guarantee that when they get home if not before they will be online downloading it.  Get it fast because sooner rather than lat you will have to pay for it.  Without bout the best free game around.",
" Improvement in function Been playing here 4 months. At first, many glitches. Big wins wouldn't post to my account. It would disconnect instead. But that problems seems to have been corrected. I am enjoying it very much now.",
 Highly addictive Will cause arguments with your partner!!,
 Third hero and be able to attack frenids it is fun till you have to wait so long for your troops to  upgrade but still love the game had it for a long time you should be able to get a third hero.and make levl seven wizards and stuff make it so you can pick the people you what to raid cues my mate and me have coup how is better a Nd i think it would be fun and a challenge that would make it make the game so good  and my champion 3 2 1 then a new league or just leave it at the but the best people in the world have nothing to upgrade and stuff so yea and third hero is what i would really like and the attack you frenids,
 Hey Awesome way to play,
 Game of War This is a great game one of the best I have ever played but people that are able to spend money definitely have an advantage and those who can't or don't it's a big disadvantage!!! It's fast levelling at the beginning on the game but later on it becomes much harder to do so.,
 Helps Helps being bored and long journeys,
" crashes on resume Every time I play this game, put my iPad to sleep, and then wake my iPad the game crashes to the desktop. It says trying to connect, makes some dungeon noises, then crashes.",
 Candy crush Fab,
" Decent game This game is decent for a Nascar fan.  It requires the use of basic racing strategies and is definitely challenging.  Considering it is a strategy game and not a first person racing game, I have enjoyed it thus far.  I have not had the serious crashes that have been previously reported. There seem to be minor issues only, but hopefully these get resolved...",
 Great game Awesome game good time waster,
" FarmVille 2 Awesome, addictive interactive game !",
 Real steel It is so fun I can't stop playing!!,
" Fun mmo It's not the best mmo, but it is the best on iPhone. The world feels really realistic and the way players interact is refreshing. You can form groups and go on quests together and making money in this game has great rewards. Good graphics too! No complaints really.",
 Awesome Love it & addicted!,
 Very addictive Very addictive. However the touch is so slow to respond and when you put the plate over a person a lot of the time it doesn't do anything. It makes it even more frustrating.,
 Was good but no more Used to b a great game but not anymore... After spending over £10 grand and 2B power there is not much u can do coz most players are over or near a billion and rally capacity makes it near impossible to have fun zeroing someone without mayor loses. They need to increased capacity or else this game is pretty much dead soon.... For those of u that can't spend money then delete game. U will waste your time playing it and after spending so much of ur life here u will regret it.... AVOID!,
" Great game Lots of fun, entertains everyone",
" Are you kidding me? Fun game, but extremely ad supported. Open the game, se an ad. Go to choose your robot, see an ad. Choose your robot, see an add. Pick your fight, see an ad... Everything you do, you get an ad to accompany it. It's annoying! I can't keep playing it receiving ads with everything I do.",
 Disappointing Really enjoyed this game until I got to a point in the game where it froze. I uninstalled and reinstalled and began the game again. Got to the same point and it froze again and has been like that for a week. Hugely disappointing! Update?!,
 Awesome game BUT!!! It doesn't open after the 3rd time :(,
 Dead trigger 2 Really good game runs well on iPhone 4s only problem is that blue prints should be more common as it's taking me a forever to unlock weapons,
" Update crashes I like the update -not nearly so bad as some of these reviews make out. The new single square tunneling is better imo (speaking as mainly a defender the old way was always annoying) and the layout is nice. However, when I try to log on there only seems to be a 50/50 chance the game will load and the 'please wait....' messages in game still wind you up particularly mid-attack when you automatically lose the battle. Overall the update is good even if it seems to favour defense -but then why should it be easy for others to waltz in and smash your beloved dungeon to bits?",
 Addictive Game Tremendously enjoyable game it will be even more impressive with offline play and perhaps less punishment for raiders fainting or reduce construction time,
 Awsome Subway surfer is awsome u can do awsome things and get cool power ups!,
 Great game. A whole lot of fun in a small game package.,
 Ipod 4 Crashes everytime on the nascar redline screen,
 Top Trop bien !!!,
" Absolute crap Its just as well it is FREE...Plays all the adverts (far too many of them may I add) and after 1st half of programme it then plays all the ads AGAIN but then when u wait on 2nd part, it puts it right back to the beginning of programme...SORT IT OUT OR GET RID :@",
 First game to have real strategy Must play,
 Good however This is a extremely very good game. The only downside of this game which infuriates me is that you have to have 3 friends with some report to be written before you enter a new case. I have no idea why you put this in but could you please take out so that if you don't have facebook you can automatially go to a new case other than that good game.,
" Good game! But... This game is really fun and also addicting. The reason I would have given it 4 stars is because the prices are sooo overpriced. But I figure that's not really important. But really, it's overpriced.  Other than that, good game! The characters are weird looking and why would you want to buy prince k for that much anyway? I would like maybe an upgrade for the things u get (ex. Magnets, jet pack) do it could last longer. It is also really lame for the pogo stick thing to just make it drop to the ground. I've died smacking my face into some things. Now, don't judge and say I'm a whiner, it doesn't happen too often and is not a nessecity that they need to fix. Other than that, everything fine! Sorry, I should probably stop saying that. <f0><U+009F><U+0098><U+008B> For those people who keep complaining about the game crashing, I'm not calling you whiners, but maybe your phone is bad. Before you get frustrated( again not calling u whiners just saying this just in case u might get irritated, I get irritated easily) I understand how frustrating a game crashing can be. That happened with me and terriaria mobile, but that's a different story. All I can say is, I'm playing with and iPhone 5s so that might help with the crashing. If it keeps crashing, well, just don't play it I guess. Or try this: restart your phone or double-press the home button if ur playing this on an iPhone. If u have the new iOS then find you game box and delete it by pushing it up. It won't delete the game don't worry. It'll just bring u back to the logo stuff. Anyway, thanks for sitting through this review and hope u enjoyed it!",
 Cool I love this game! <3,
 Sick This game is rad,
 Love it I love it this is the best game,
" Great way to pass time Love these games people you meet mostly kind and generous, have encountered a few stiffs, I just say wow it is a game and supposed to bf fun, problems are solved swiftly, enjoy the free stuff, almost like being at a real casino great way to pass time...the ultimate -Ama McJacques",
" I LOVE IT I love this game.

Thx for creating this app",
 Beerilliant Unbeeelievable! Once you start playing you can't stop,
" The best game The best game I ever played
Very addictive I will recommend it to anyone.",
" Dreadful! Was forced into downloading app this am when I went online to catchup on Corrie.  One and a half hours later!! I've given up as the beginning of the second episode seems to have frozen for all time.  STV you need to get this sorted out. Also, my true rating would be zero stars.",
 Angry bird Fantastic game,
" A lot of things to say... Ok so I'm really addicted to this game. My Sister has it, she really likes it too. However My Other sister deleted it .<f0><U+009F><U+0098><U+0095> I don't know why but these are some things to make it better...

•A search bar to search up things from people roadside shop
•Lower the level needed to chat with members in your neighborhood
•Possibly add snow?
•Be able to make status updates maybe to try and get people to stop asking for particular stuff
•we should be able to make a profile add customize a character to show our personality
•be able to have more extensions when you get to a certain level (for those who have run out of space on their farm)
•Be able to play this game without Wi-Fi

Thanks if you add these in I'm sure my sister will re-install it <f0><U+009F><U+0098><U+0083>
Thanks",
" Not worth it If this was a game that gave you some sort of challenge, then it would be worth paying for the new energy you need after 5 mins play. But it's not ....",
 gREat Fun game to play while on lock down for ebola,
 Hay day Great game never get board from the game it's cool:)):)),
 still enjoy playing it :-) nice to get back from time to time,
 Rerun F chfk,
 Dating and hair! Love this game but would be great to buy hair with money and also dating time should be expanded before they call to break up. I don't always get to see them,
 Great game Great game,
 Great and addicting Doesn't require tons of money and is easy to play.,
 Great This game is just flat out fun   It's not toooo hard but it makes boring time  fun,
 FARKING RIP OFF This game is all about bleeding the user of their hard earned dollar for diamonds how pathetic and the fishing nets what a joke 20 hrs for 3 fish what joke and the app doesn't load all the time and when your looking for items coincidentally them items don't appear in the newspaper really Sh!t effort guys I'm off to find something better to play goodbye,
 Clash of clans I love this game it's awesome<U+2757><U+2757><U+2757><U+2757><f0><U+009F><U+0098><U+008E>,
 Love Love it,
 Funny It is so cool,
" Doom Excellent.Really good, kill 'em all.",
" I'm hooked! The biggest problem is, without the funds to purchase keys, I just keep poking along.",
" Too high prices upgrades Upgrade prices are stupidly high and costs a lot of gems to finish, also they take like 15 days sometimes!!",
 Get it NOW Fun easy better than subway suffers not to many ads great for waiting,
 Wow... Ahaha there was a ad of this game so I thought I might get it and it said it had over 5000 ratings. So I went to the App Store and it only has 156 ratings,
 Great Awesome game great way to spend a couple of hours,
 Awesome FPS! Excellent game play,
 Great game but I hate the dragging!! :( Very addictive game! I quite enjoy this game very much. But I get so annoyed that you have to drag the food from place to place. Sometimes i have to drag my finger a few times for it to actually move and most of the time it takes too long that the food will burn <f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+00AB><f0><U+009F><U+0098><U+00AB> so frustrating!?!? why cant we just click on it and then click where it needs to go??? much more easier and quicker.,
 Very addictive Good as these games go it is possible to play without having to buy keys,
" I love the idea of the game..but... I love the show Wicked, so I was overjoyed that there was a game for it. The game is fun! But there are bugs that need to be fixed, please! The screen freezes when I try to click the gate to ask for keys and the one time it worked to send the request, it wouldn't work on my sisters end. ""With a {game} like yours, dear, there is a definish chance, if you work as you should, you'll be making good""",
" Very cool, very swag, I like it :)",
" Denise Awesome slots, very addictive",
 Addictive Love the fantasy angle. Great mixture of RPG and card game. Where can we buy the real decks?,
 Fun and very addicting!!! <f0><U+009F><U+0098><U+008E> One of my favourite games,
 Best Game Love the game best game in the world it's just like farm Vill,
 Great game This is a very fun game with lots of missions!!,
 Okay Most people love angry birds but its fine:),
" Not happy What happened to the betting  system ? Cant bet more than 5 thousand on roulette ?? Don't waste your money , used to be the best casino .",
 Awesome This game is very addicting and fun!!,
 Nice Great and easy going game!!!,
 Plumbers crack Amusing fun.,
 Love it :) Love it! Also addictive,
 Great game! I really enjoy playing this game and it doesn't glitch at all! Although it is really similar to temple run its still fun to play.,
" SUBWAY TOKENS I like this game very much. However, I keep earning stars and still no new task to complete. I just updated thinking I will find the subway tokens and still nothing. I hope you guys get this game fixed soon because I enjoy playing and I don't want to get upset and delete it.",
" Good game but....... This is a very addictive game.......right up to the point where you cannot progress any further without having to buy gems off of real money. As usual, a decent game ruined by greed.",
" Good Dates need to be quicker. Want to get to the wedding part seems to take forever and they dates break up with you too quick so you have no chance. 

Energy should refill quicker. 

Still an addictive and good game though.",
" Amazing but I love it cant stop playing it
But some ideas my friend and i had is maybe there could be houses u can buy and design also maybe you could like buy furniture and flooring also i think it would be amazing if you could buy a pet that could help you fight like a Dog or a horse or even mythical creatures like unicorns also the profanity glitches out for me also maybe change the landscape for seasonal stuff like during   the winter make it so the landscape is snowy during
 the fall make the trees have no leaves during the spring an  during summer make there leaves and flowers and all type of that stuff",
 Good Great game although energy takes to long and is used up to quick unless you pay for it,
 Interesting game but unplayable! Server side disconnections and the lack of a reconnect function make this game really frustrating to play.,
 Plumber crack Plumber crack is the best I can't stop playing it once I start I can't stop it is my favorite game in the whole wide world,
" Best Eva Game This is the best most addictive game ever. It has challenges and missions to keep you entertained and it also keeps it fresh by changing the theme every couple of weeks. Time flies when your having fun on this game. It's better if you log into Facebook to compete against your friends. If you don't download this then your missing out, seriously!",
 Good Good game,
 Reelsteelwrb It's good but takes ages to come back on this app would be a lot better if it came on straight away,
" Worst app! Downloaded this app on iPhone and iPad and works on neither, fails to recognise I'm in Scotland and doesn't let me watch anything. Very frustrating. Even when trying to watch it on normal Internet it re-directs me to the app so can't watch any programmes. Very disappointing.",
" Insane and Great! I have played since release, I'm a level 184 and have experienced it all...! Amazing game 5/5* here.
If you are also reading:
Fix issues with target lock.

New players beware: SELL EVERYTHING FOR LOTS AND BUY FOR CHEAP!",
 New Zealand This game is the best !! I just won the jackpot :) next update should be a New Zealand theme !!!!!!!,
 Awesome I LOVE this game. The graphics are SO detailed!,
" Amazing Different to normal games 
I am enjoying this game a lot 
It's not easy sometimes it can be quite a challenge",
 Slow I have a problem with this app on iphone 5 . The app shuts off !!!!!!!!!,
 cant connect this game is a waste ive never played it because it only says cant connect so dont get it cause its a piece of junk,
" Great fun This game is really loads of fun, try it- you'll be hooked!",
 Spinout Great time waster,
 Great Great fun :) lots to do not real money heavy if u can wait,
 IT IS A HECTIC GAME Celtic is very boring when u start but when ur as good as I am ITS HECTIIIC,
" Doubledowncasino Why can I not get connected to this ,getting angry now. Was fun to see it build up .",
 Good game This is one if the best game ever totally worth downloading  just an idea it would be cool if you could be able to donate gold and elixir that would be awesome,
 So much fun! So addictive and fun. I could sit here for hours on end playing it!,
 Sick Dope game,
 Cool Awesome,
 Subway surfers bug I give this a good rate but my subway surfers will not let me on. Please fix this bug. Thank you!,
" So good This game is so good I can't get of, off it thank you for making this games so good and amazing <f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+009D><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+009D><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+009D><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+009D><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+009D><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083>",
 Fun So far nice game. Maybe a bit repetitive.,
" Nic game I am having lag problm can any give me any solution.,,",
" App issues While I enjoy playing the game itself, the app is VERY stressful!!! It takes 3-4 times trying to open it before it actually opens. It starts opening then kicks you out. I loose my lives just trying to connect. I tried deleting and reinstalling the app but it didn't help. PLEASE fix this issue!!",
 Rip off Very low win rate. They are only in it for the money,
 Great Great game,
 Cool Good game so far just wish upgrades wasn't as expensive,
" Double Down, Casino Love the game-lots of fun.",
 Buggy I just got the game but it always freezes up on the tutorial,
 Amazing game Such an amazing game. Has me addicted,
 Awesome Brilliant!!,
 <f0><U+009F><U+0092><U+0096>LOVE IT Really love this app only two or three pop ups here and there<f0><U+009F><U+0091><U+008C>BRILLIANT XXxx,
 Worthless Try Slotomania or Double Down - both much better at user friendliness!!!,
" 1 problem Love this game but only 1 problem. I am being beaten by my grandma in a who's farm looks the best, and my farm looks rubbish so in the next update can they please be the option to re-design the farm so that everything goes into inventory and you keep your levels and money. Thank you
Peace",
" Dhaffar Great game but please stop the online need, I don't have internet connection everywhere.",
 Raiders <U+2764><U+FE0F> Great game very entertaining,
" Not bad Server is very slow & get booted out a lot, but still keep coming back to the game.",
 Fun game! This game is the perfect distraction! I just wish it wasn't so hard to earn gold tickets.... It's almost impossible!,
 Addicted Loving this game,
 Hours of fun Hours of fun,
 Deer Great game,
" Great app but..... Great slots games IF, it ever decides to load on my mobile....takes 25days to reach max bonus only to lose it because it refuses to load....frustrating!!",
 Maz Ty bf casino for many hours of fun and interaction with people worldwide . Many great games and promos.,
 Brilliant game Very well thought out and increasingly challenging!,
 Top job This is a wonderful time spender.,
 THIS GAME IS A CHEAT <f0><U+009F><U+0098><U+00A2> Although I like the game I wanted to upgrade my barracks and I forgot my 2 builders were busy.i also didn't have enough money so I clicked to use gems (I had enough) and it said my builders were busy (which they were) so I clicked X and about 7or8 gems got wasted for nothing! <f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2>,
 BaegirlYao Bae loves this,
 Love this game I love this game but the energy needs to be faster because I have to have alarms on my iPad to play it  and if you did I will play the game more,
 AWESO DOPE,
 Ubisoft GG ubisoft GG,
" Great... Kinda Have no Idear how to get more pumpkins. 
Also the boy who looks for things that you need 
the lowest thing to pay him is 15 gems<f0><U+009F><U+0098><U+00B3><f0><U+009F><U+0098><U+00A4><f0><U+009F><U+0098><U+0096><f0><U+009F><U+0098><U+00A0>
Other than that... It's a GREAT APP!!!!<f0><U+009F><U+0098><U+0086><f0><U+009F><U+0098><U+008B><f0><U+009F><U+0098><U+009D>",
 Fun Great fun,
" Candy awesome This game is very addicting I can't stop playing it... 
Great game!!!",
" Awesome, possible update ideas? Hey guys, first of all, amazing game. I would like to suggest some update ideas.
First, town hall 12-15. This will give people who have maxed out an opportunity to further progress. Along with this, a larger area to build which would mean a longer attack time to compensate for it. 
Secondly, a new troop and hero would be awesome. For a hero, a Goblin thief would be great so that the three first troops have a hero counterpart as the rest of the troops are already very powerful. Also for a troop, an idea of say a Yeti, or cavalry type troop would compensate well with the game.
Another idea would be to allow multiple people to watch a live clan war and also to be able to save replays of attacks to your iPhone/iPad/iPod memory for people who want to share attacks later. Or to upload to a YouTube channel if they wish, this would be awesome. And finally an alternate clan that is capable of holding upto 200-250 people which would be amazing for wars. Cheers!",
 Game of War It's addictive and  good fun. Nice way to chat with people from all corners of the world.,
 Coin Doubler Isn't Working My coin doubler isn't working.  Lost out on at least a couple thousand coins because of that.  SLooooooooooooooooooooooooooooooooooooow and lags.,
 Great game Love it!!!,
 Any better & I'd be jobless All it needs is the ability to attack your friends or test out your or your clans bases mean team,
" Addictive as hell A great concept for FPS on mobile.
With the auto shoot function allowing for faster reaction times.",
 Great Shooter Game Awesome game that is very interactive and addicting. I highly recommend this game for killing time and having great adventure at your fingertips.,
" Awesome but.... I LOVE the game/app but I got atom and I fully maxed him out and I would rather have him look movie accurate than what he looks like now,I still want him upgraded but he looks kind of weird:/.at least have like a un-upgrading feature that you can use on the robots.besides that the app is AMASING,keep up the good work!!!!",
 G It's taking over my life! In a good way...,
 Good Yeah good game. Worth a try,
 <f0><U+009F><U+0091><U+008D> Love it <U+2764><U+FE0F>,
" Great translation to the mobile platform I've been playing this game on the web based Facebook version and my only complaint has ever been that I keep getting to a point where new levels aren't yet available. Happily a lot of the levels I've already beaten are quite enjoyable. This version of the game is a little further behind on levels, but very smooth and fun to play. I experienced some lag once but otherwise smooth sailing for the most part. I'm happy you created this mobile version. I use an iPhone 4S with iOS 7.",
 Fun This is a fun game and I like it when you expand goats come out an eat the grass,
 Great game It's pretty cool,
 Good Good,
" <f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D> Not a problem with mine, opens right up and let's me play. I'm a huge Wicked fan so this is FABULOUS! 5 stars all the way!!!",
 Great Funny game,
 Great game Awesome,
 Love this game Love this gamex,
 Mad Awesome game I'm loving it,
 Addictive Awesome!!,
" Going downhill lately This game used to be a blast with the ability to win great prizes. With all the requirements becoming unrealistic and constant glitches and server issues, I have come to regret devoting as much time and money as I have. Their customer service doesn't respond to issues either. Rip off....",
 Eden incendiary Kevin effigy,
 Killer game So sick,
 Mr m Top notch gaming as usual,
" Good graphics but crashes a lot Very addictive game, awesome graphics too but crashes a lot on my 4S. Newley every mission I have been on has crashed and meant I have had to restart the mission. Currently stuck on a mission due to the game constantly crashing.",
" Ausome I personally think that it is a great game for kids!
It's really easy!",
" Slots romance Good games ,like them, like the payouts",
 Very addictive Very addictive and lots of fun,
 Crash Game crashes way to much! Needs to be fixed and fixed fast because it's going to tick everyone off and they will stop playing!! Ans make it quicker to load! I'm sick of waiting 4 day to play 1 game and watch it crash!,
 Ok Ok,
 More hot costumes I love this game but please put more hot outfits for the girl,
" Terrible game The odds are horrible, the high millionaires win the tournaments, and after complaining about a connection issue over and over, they decide its your faulty internet connection and refuse to compensate. Don't bother unless you want to be addicted to a game you can never win.",
 good follow @fishingspencer I follow back,
 NOT FIXED!!!!! Still crashes and will now not let me login!! Failure!!! Fix this bloody game have deleted it and may retry it if you finally fix it one day! Untill then 0/10 !!,
 Great boredom buster!! Love this game! So addictive and I always want to keep bettering my high scores,
 Cant be run on this device?! Ive checked the compatibility and my iPod has the iOS required to play and im using an iPod 4th gen (compatible also) and it tells me it cant be run on my iPod,
" Soo addictive Addictive and enjoyable. 
Love the little bees <f0><U+009F><U+0098><U+009D>",
" Hayday Best farm game made so far 5 stars 
Some issues with crashing please fix",
 Great games Very easy,
" Good Good game, lots like it but its easy, and doesn't need your wallet for life support. 9/10 because no game is perfect ;D",
 Love it I love this game! The only problem is Willow Pape is always tweeting and getting more fans. I think that we should get to tweet and gain fans too but you have to pay to tweet or you have to earn it by doing something. I think that will make the game a lot better,
 Good fun Addictive and fun. Always trying to bet your last score. <f0><U+009F><U+0098><U+0084><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0080><f0><U+009F><U+0098><U+008A>,
" Pretty and good Decent pixel art, and simple RPGs mechanics, with mobile style 'village' building.",
 SO ADDICTIVE!! BEST GAME EVER I absolutely love this game and I would play it all the time if I was that free. It is really fun and I like the really cool characters and how you can get tools even when you are harvesting plants it would definitely recommend it and all my friends have gotten really addicted so I love it 5 STARS FOR SURE!!!<f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D>,
" Best.Game.EVER!!!! AWESOME!!!!!!!!!!!!!! It is sooooo good! Like, seriously, u cant get any decent apps on the iPad anymore! But THIS!!! This is great!!!!! It is seriously the best game that I have ever downloaded!!!!",
 Dowmload Best game ever made,
 Great game Only complaint is that the energy runs out too fast and comes back too slow.. On top of that you have to pay for extra energy.. Yuck,
 Fun!!!!!! Fun and very addictive,
 Angry birds Rubbish!,
 Farm It's a gd game but when you run out of resoresis you can't go on and the buildings should b ready now I've been playing this game for about 4months and still no building s,
 Good Needs to be faster at loading,
 Enjoyable Easy to play.  Don't need to be connected.  Great how you can send items from  and to my farm at FarmVille2.,
 Sub rocks Sub rocks it's fun and all but it takes too long to get boards and suits<f0><U+009F><U+0098><U+009E><f0><U+009F><U+0098><U+0090><f0><U+009F><U+0098><U+0090><f0><U+009F><U+0098><U+0090><f0><U+009F><U+0098><U+0090>,
" Beta version ? I give 5* , but the update made the game look like a beta version",
 Skater Great enjoyable game!!,
 Fun!! Highly addictive!!,
 Game Great game :),
" The worst It wasn't letting me take things off and on the grill,and the cola machine. It wasn't letting me give costomers the food and drinks they wanted",
 Great GREAT GAME,
 Nice I'm a beast,
" Girls love he<f0><U+009F><U+0092><U+0096>rts I love this game but I can't seem to get of the Halloween  challenge  can someone tell me how 

Thanks<f0><U+009F><U+0092><U+008B><f0><U+009F><U+0092><U+008C>",
 Best game ever Best game ever,
 Really good game but... This is a really good game but sometimes it doesn't load. You should be able to earn more money like real famous people,
 Good Good game,
 Amazing This is the best zombie game I have played awesome new update,
 Fun Great,
 Review Great game!!!!!! Loads of fun!!,
 Good game if u have the money Started off as quite good then it gets repetitive in that to advance you either have to pay out with real money and a lot of it or keep playing the same levels to get anywhere. Bit frustrating that you can only really advance by buying upgrades but after the first set you have to use diamonds but seeing as they don't come as freely as the money it really slows u down as the further u get the more you need the upgrades. Save your time and money,
" Amazing This game is so good!
A perfect polished mmo rpg.
It needs more recognition by people!!!!!!!!!!!
<f0><U+009F><U+0098><U+0084><f0><U+009F><U+0098><U+008A><f0><U+009F><U+0098><U+0083><f0><U+009F><U+0098><U+0083><U+263A><f0><U+009F><U+0098><U+0089><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+009A><f0><U+009F><U+0098><U+008C><f0><U+009F><U+0098><U+0092><f0><U+009F><U+0098><U+009C><f0><U+009F><U+0098><U+008D><f0><U+009F><U+0098><U+008F><f0><U+009F><U+0098><U+008F><f0><U+009F><U+0098><U+0094><f0><U+009F><U+0098><U+0094><f0><U+009F><U+0098><U+0094><f0><U+009F><U+0098><U+0096><f0><U+009F><U+0098><U+00A5><f0><U+009F><U+0098><U+00A5><f0><U+009F><U+0098><U+00B0>
Brill and FREE
GET NOW
GET
IT
HURRY
GET
IT
NOW
NOW
HURRY
QUICK
NOW....

Still not got?
GET IT
NOW

TROL",
 I will never spend real money again I thought the game was ok at first and spent money little by little and then on my birthday i got a 100$ itunes and since i liked this game alot i bought the 99$ plat package and after it took all my itunes money the PLATNIUM was never given to me,
" Rubbish This is hopeless.  If you stop watching halfway through, it doesn't keep your place, as BBC iPlayer does.  You have to start from scratch, watch all eight, yes, eight adverts, then find where you were, watch another eight, yes, eight adverts, and only then can you pick up where you left off.",
 Great game! This is a great game. I enjoy trying to see how much more I can get ahead of the game.  I do wish Grandma and Grandpa would move a little faster:),
 Awesome This game is awesome I started off in June and now my town hall is on lvl5. I really like the part of attacking where you can take loot away. I really wish we could control our troops. Supercell please add this in the next update. I recommend this game,
" The WORST farming game ever, could be the BEST! Are you kidding me? And energy meter that only holds 20, so you can only do 20 things, there gone, then you can't do anything until the meter fills back up. Unless of course you want to spend a small fortune to play this game at all. If the meter was gone and you were allowed to play at will this could be one of the best farming games to play and has great graphics and items to buy. So very much potential, but you don't see Hay Day having a energy (play) meter! It's almost like you don't want people to play your game???",
" Good Awesome! If this game bet real money, could be the best!!!",
 Angry bloke Frustratingly leaves you wanting more,
 The best thing Best game ever love the farming experience!,
" Serious bugs Awesome game but after a while a playing it doesn't count challenges. Need 2 mega rocket in one go... Doesn't count them. Finish running 40,000m doesn't give you new challenge. Needs some work",
" Shaz Great games ,great people to chat with 
What else could be better? Oh yes I can't see where to send requests from ,I can see I have some but where do,you send them back .thanks it would be very helpful if I knew lol..",
" Great It's an a ok game, could be a little better. It's a shame that something's you have to use your diamonds for.. But they are easy to get hold, which is a great thing",
 Amazingly Exciter for wrb5,
 LOL So much fun <U+E415>,
 Good Good,
 Addictive!!! Love this game,
 Suggestion I like the game. What I'd really like to do is to be able to also send out tweets. These tweets could also make other stars lose fans or gain as well as us.,
 Great game but has started crashing Can't open the game today it starts loading then crashes. Also doesn't work well with game centre. I keep losing my game centre friends and it keeps asking me to log in to Game Center but then says the game centre server can't connect me.,
" Another great Facebook game ported to iPad :) I was really pleased to see this game on the AppStore. I played this a lot on my laptop but don't use it so much there days, as my iPad does a lot of what I want. 

For those people that are new to the game, it is mostly a memory game, with a bit of a 'criminal' story behind it - it is not CSI! 

Yes, the energy goes down quickly but it is replenished over time. If you play daily, you get bonuses, which include orange juice and crisps that you can swap for energy if you run out. Adding friends will help in the energy department, too.",
 Awesome Awesome and sometimes challenging,
" DT2 Brilliant game, graphics and if you want it gore! Had an issue when it kept crashing but have reloaded it now. Try this, you won't be disappointed.",
 Works Very Well Great App! Without loosing your jacket.,
 Brilliant game Fantastic!,
 Skyline skater Awesome,
" Good game My son loves the game, new update on colours is good but charging 5 per colour is a little high.",
 Wicked game!! Wicked!!,
 Hay day Awesome fun game that keeps me playing but the only things are that would be cool would be able to search stuff on the newspaper and more animals,
" great game!! awesome, very addictive!!",
" Plumber Crack This game is AWESOME, I let my boyfriend's aunt play and she said that it was addicting. But the girl is really hard and I said to my boyfriend's aunt that the girl is really hard but she already pressed it and then she said the girl is hard and I said that's what I said. Anyways it's so ADDICTING, I love it!!!

                                                                      Love,               
                                                                              Julie Nagel   <3",
